n	tiempo
0	1e-06
100	5.6e-05
200	0.00022
300	0.000495
400	0.000884
500	0.001371
600	0.001967
700	0.002656
800	0.003473
900	0.004383
1000	0.005477
1100	0.006739
1200	0.007854
1300	0.009255
1400	0.01062
1500	0.012129
1600	0.013804
1700	0.015573
1800	0.017505
1900	0.019445
2000	0.021628
2100	0.023806
2200	0.026062
2300	0.028472
2400	0.0311
2500	0.03333
2600	0.036085
2700	0.03861
2800	0.041523
2900	0.044493
3000	0.047597
3100	0.050512
3200	0.053974
3300	0.057736
3400	0.061203
3500	0.064511
3600	0.068553
3700	0.073418
3800	0.079415
3900	0.082024
4000	0.086268
4100	0.090383
4200	0.093016
4300	0.097819
4400	0.10174
4500	0.106231
4600	0.111193
4700	0.118285
4800	0.128998
4900	0.131992
5000	0.135589
5100	0.1407
5200	0.14623
5300	0.151908
5400	0.157922
5500	0.16371
5600	0.169381
5700	0.175124
5800	0.180787
5900	0.187478
6000	0.19387
6100	0.200271
6200	0.202298
6300	0.209187
6400	0.217154
6500	0.223251
6600	0.231902
6700	0.240018
6800	0.248128
6900	0.256718
7000	0.262533
7100	0.269672
7200	0.284029
7300	0.281865
7400	0.287177
7500	0.296635
7600	0.314866
7700	0.318991
7800	0.320421
7900	0.329481
8000	0.338509
8100	0.348123
8200	0.355859
8300	0.365074
8400	0.373281
8500	0.391983
8600	0.391736
8700	0.400814
8800	0.423814
8900	0.431876
9000	0.437959
9100	0.450819
9200	0.460613
9300	0.469823
9400	0.47638
9500	0.484612
9600	0.489243
9700	0.500689
9800	0.510506
9900	0.528602
