n	tiempo
0	1e-06
100	5.7e-05
200	0.000224
300	0.000499
400	0.000884
500	0.001461
600	0.001998
700	0.002717
800	0.003543
900	0.004463
1000	0.005704
1100	0.00665
1200	0.007876
1300	0.00929
1400	0.010728
1500	0.012302
1600	0.014044
1700	0.015921
1800	0.017741
1900	0.019762
2000	0.021835
2100	0.024103
2200	0.026403
2300	0.028891
2400	0.031479
2500	0.03409
2600	0.036884
2700	0.039763
2800	0.042803
2900	0.045794
3000	0.048506
3100	0.05212
3200	0.055172
3300	0.058451
3400	0.062275
3500	0.065716
3600	0.069599
3700	0.073064
3800	0.076766
3900	0.080785
4000	0.085118
4100	0.089203
4200	0.093895
4300	0.098229
4400	0.102944
4500	0.108139
4600	0.112496
4700	0.117298
4800	0.122451
4900	0.127481
5000	0.132656
5100	0.138025
5200	0.143675
5300	0.149119
5400	0.155691
5500	0.1675
5600	0.170988
5700	0.174481
5800	0.180807
5900	0.187311
6000	0.192871
6100	0.201513
6200	0.209884
6300	0.214428
6400	0.222175
6500	0.227721
6600	0.234937
6700	0.240971
6800	0.248181
6900	0.25528
7000	0.263653
7100	0.271573
7200	0.278155
7300	0.284129
7400	0.296206
7500	0.304812
7600	0.31157
7700	0.321638
7800	0.32696
7900	0.342378
8000	0.353088
8100	0.359523
8200	0.369183
8300	0.376703
8400	0.382755
8500	0.393729
8600	0.404086
8700	0.408752
8800	0.423585
8900	0.429401
9000	0.43473
9100	0.45113
9200	0.462364
9300	0.471988
9400	0.484641
9500	0.483329
9600	0.492196
9700	0.519665
9800	0.527767
9900	0.537185
