n	tiempo
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	1e-06
i	1e-06
i	0
i	0
i	1e-06
i	0
i	1e-06
