n	tiempo
0	2e-06
1000	0.002853
2000	0.00992
3000	0.021159
4000	0.036882
5000	0.056998
6000	0.080221
7000	0.110506
8000	0.141976
9000	0.179911
10000	0.223259
11000	0.26813
12000	0.319197
13000	0.37616
14000	0.434214
15000	0.498281
16000	0.567341
17000	0.640593
18000	0.72311
19000	0.807519
20000	0.890744
21000	0.979019
22000	1.07851
23000	1.18589
24000	1.28002
25000	1.40334
26000	1.50758
27000	1.63489
28000	1.74072
29000	1.86835
30000	2.0188
31000	2.11874
32000	2.2641
33000	2.43136
34000	2.57375
35000	2.72405
36000	2.87438
37000	3.04167
38000	3.21827
39000	3.37964
40000	3.56994
41000	3.73127
42000	3.91587
43000	4.13745
44000	4.32783
45000	4.48192
46000	4.72409
47000	4.95434
48000	5.13864
