n	tiempo
1000	1.4e-05
2000	2.2e-05
3000	4.1e-05
4000	4e-05
5000	5e-05
6000	6.9e-05
7000	7.5e-05
8000	8.4e-05
9000	9.6e-05
10000	0.000103
11000	0.00011
12000	0.000119
13000	0.000125
14000	0.000137
15000	0.000147
16000	0.000159
17000	0.000175
18000	0.000184
19000	0.000195
20000	0.000207
21000	0.00022
22000	0.000238
23000	0.00025
24000	0.000257
25000	0.000269
26000	0.000279
27000	0.000291
28000	0.000306
29000	0.000315
30000	0.000329
31000	0.000346
32000	0.000352
33000	0.000381
34000	0.000386
35000	0.000391
36000	0.0004
37000	0.000412
38000	0.000424
39000	0.000432
40000	0.000443
41000	0.000454
42000	0.000465
43000	0.000471
44000	0.000512
45000	0.000499
46000	0.000566
47000	0.000528
48000	0.000537
49000	0.000554
50000	0.00056
51000	0.000587
52000	0.000578
53000	0.000586
54000	0.000597
55000	0.000606
56000	0.000617
57000	0.000628
58000	0.000638
59000	0.000652
60000	0.000658
61000	0.000669
62000	0.000679
63000	0.000703
64000	0.000711
65000	0.000727
66000	0.000963
67000	0.000842
68000	0.000748
69000	0.000756
70000	0.000771
71000	0.000778
72000	0.000788
73000	0.0008
74000	0.000812
75000	0.000821
76000	0.000831
77000	0.00086
78000	0.000853
79000	0.000874
80000	0.000914
81000	0.000889
82000	0.000898
83000	0.000912
84000	0.00092
85000	0.000931
86000	0.000938
87000	0.00095
88000	0.000963
89000	0.000975
90000	0.000981
91000	0.000994
92000	0.001006
93000	0.001014
94000	0.001024
95000	0.001036
96000	0.001046
97000	0.001061
98000	0.001067
99000	0.00108
