n	time
1	1
2	202
3	503
4	805
5	1202
6	1600
7	1999
8	2400
9	2901
10	3398
11	3896
12	4396
13	4899
14	5400
15	5898
16	6395
17	6996
18	7596
19	8189
20	8790
21	9389
22	9987
23	10588
24	11190
25	11790
26	12388
27	12990
28	13592
29	14193
30	14795
31	15396
32	15998
33	16689
34	17389
35	18089
36	18791
37	19488
38	20189
39	20881
40	21577
41	22269
42	22969
43	23664
44	24360
45	25060
46	25759
47	26452
48	27137
49	27833
50	28531
51	29225
52	29924
53	30621
54	31313
55	31998
56	32698
57	33400
58	34097
59	34791
60	35492
61	36193
62	36895
63	37592
64	38293
65	39088
66	39884
67	40684
68	41485
69	42282
70	43083
71	43879
72	44674
73	45467
74	46262
75	47065
76	47860
77	48652
78	49451
79	50254
80	51041
81	51841
82	52643
83	53441
84	54242
85	55041
86	55843
87	56645
88	57447
89	58245
90	59043
91	59837
92	60632
93	61437
94	62243
95	63030
96	63824
97	64623
98	65425
99	66204
100	67001
101	67805
102	68610
103	69396
104	70192
105	70998
106	71799
107	72591
108	73393
109	74191
110	74993
111	75788
112	76583
113	77385
114	78178
115	78982
116	79784
117	80582
118	81385
119	82184
120	82985
121	83781
122	84583
123	85383
124	86173
125	86968
126	87763
127	88563
128	89365
129	90266
130	91153
131	92042
132	92944
133	93837
134	94738
135	95623
136	96517
137	97407
138	98310
139	99207
140	100108
141	101013
142	101914
143	102818
144	103718
145	104611
146	105508
147	106405
148	107310
149	108211
150	109092
151	109995
152	110896
153	111795
154	112698
155	113594
156	114496
157	115393
158	116278
159	117178
160	118073
161	118967
162	119866
163	120761
164	121646
165	122555
166	123455
167	124356
168	125260
169	126145
170	127030
171	127929
172	128825
173	129733
174	130633
175	131538
176	132438
177	133344
178	134236
179	135134
180	136036
181	136911
182	137811
183	138715
184	139614
185	140509
186	141410
187	142312
188	143213
189	144102
190	144998
191	145901
192	146802
193	147693
194	148591
195	149501
196	150401
197	151298
198	152195
199	153094
200	153978
201	154885
202	155783
203	156690
204	157589
205	158468
206	159365
207	160260
208	161155
209	162057
210	162958
211	163850
212	164743
213	165639
214	166536
215	167429
216	168330
217	169235
218	170136
219	171033
220	171931
221	172828
222	173728
223	174630
224	175531
225	176434
226	177338
227	178240
228	179145
229	180045
230	180936
231	181838
232	182733
233	183628
234	184517
235	185417
236	186314
237	187213
238	188104
239	189002
240	189902
241	190803
242	191696
243	192591
244	193491
245	194385
246	195283
247	196181
