130 8385
1 2 119
1 3 169
1 4 248
1 5 160
1 6 508
1 7 295
1 8 199
1 9 544
1 10 431
1 11 165
1 12 382
1 13 409
1 14 424
1 15 272
1 16 87
1 17 156
1 18 187
1 19 225
1 20 200
1 21 249
1 22 301
1 23 332
1 24 284
1 25 353
1 26 243
1 27 201
1 28 220
1 29 304
1 30 241
1 31 175
1 32 404
1 33 265
1 34 148
1 35 198
1 36 416
1 37 299
1 38 331
1 39 65
1 40 319
1 41 37
1 42 325
1 43 206
1 44 313
1 45 97
1 46 180
1 47 318
1 48 348
1 49 394
1 50 105
1 51 369
1 52 527
1 53 376
1 54 174
1 55 388
1 56 505
1 57 537
1 58 388
1 59 270
1 60 382
1 61 168
1 62 135
1 63 271
1 64 281
1 65 475
1 66 388
1 67 411
1 68 299
1 69 304
1 70 242
1 71 65
1 72 452
1 73 465
1 74 504
1 75 508
1 76 127
1 77 401
1 78 355
1 79 301
1 80 169
1 81 383
1 82 553
1 83 189
1 84 419
1 85 345
1 86 355
1 87 382
1 88 308
1 89 303
1 90 319
1 91 527
1 92 403
1 93 262
1 94 342
1 95 302
1 96 401
1 97 250
1 98 321
1 99 499
1 100 227
1 101 587
1 102 523
1 103 419
1 104 173
1 105 115
1 106 328
1 107 185
1 108 197
1 109 160
1 110 297
1 111 588
1 112 121
1 113 394
1 114 197
1 115 187
1 116 274
1 117 121
1 118 174
1 119 459
1 120 391
1 121 303
1 122 380
1 123 589
1 124 203
1 125 321
1 126 235
1 127 150
1 128 89
1 129 166
1 130 81
2 3 139
2 4 130
2 5 273
2 6 390
2 7 364
2 8 137
2 9 468
2 10 323
2 11 282
2 12 309
2 13 313
2 14 317
2 15 230
2 16 190
2 17 113
2 18 109
2 19 197
2 20 86
2 21 157
2 22 192
2 23 224
2 24 229
2 25 374
2 26 326
2 27 169
2 28 274
2 29 259
2 30 215
2 31 133
2 32 403
2 33 172
2 34 132
2 35 81
2 36 409
2 37 189
2 38 236
2 39 106
2 40 207
2 41 114
2 42 206
2 43 222
2 44 195
2 45 213
2 46 74
2 47 207
2 48 374
2 49 280
2 50 39
2 51 250
2 52 442
2 53 259
2 54 75
2 55 272
2 56 433
2 57 465
2 58 274
2 59 242
2 60 263
2 61 285
2 62 203
2 63 308
2 64 389
2 65 402
2 66 391
2 67 310
2 68 325
2 69 410
2 70 304
2 71 92
2 72 340
2 73 372
2 74 414
2 75 419
2 76 246
2 77 359
2 78 307
2 79 228
2 80 59
2 81 320
2 82 491
2 83 179
2 84 412
2 85 342
2 86 458
2 87 309
2 88 406
2 89 286
2 90 313
2 91 413
2 92 304
2 93 148
2 94 318
2 95 236
2 96 299
2 97 322
2 98 332
2 99 402
2 100 175
2 101 539
2 102 407
2 103 364
2 104 203
2 105 184
2 106 217
2 107 228
2 108 137
2 109 278
2 110 298
2 111 548
2 112 173
2 113 392
2 114 154
2 115 230
2 116 211
2 117 145
2 118 57
2 119 442
2 120 273
2 121 245
2 122 267
2 123 547
2 124 305
2 125 317
2 126 180
2 127 205
2 128 175
2 129 270
2 130 57
3 4 220
3 5 256
3 6 409
3 7 463
3 8 48
3 9 596
3 10 301
3 11 278
3 12 441
3 13 262
3 14 295
3 15 369
3 16 176
3 17 250
3 18 68
3 19 335
3 20 140
3 21 118
3 22 191
3 23 211
3 24 368
3 25 501
3 26 412
3 27 307
3 28 169
3 29 398
3 30 78
3 31 271
3 32 538
3 33 132
3 34 264
3 35 189
3 36 545
3 37 193
3 38 358
3 39 105
3 40 214
3 41 134
3 42 263
3 43 348
3 44 238
3 45 215
3 46 114
3 47 212
3 48 499
3 49 368
3 50 102
3 51 300
3 52 564
3 53 337
3 54 208
3 55 290
3 56 564
3 57 595
3 58 364
3 59 106
3 60 311
3 61 316
3 62 135
3 63 427
3 64 442
3 65 532
3 66 252
3 67 272
3 68 450
3 69 464
3 70 407
3 71 104
3 72 427
3 73 489
3 74 534
3 75 539
3 76 263
3 77 498
3 78 186
3 79 362
3 80 120
3 81 456
3 82 626
3 83 43
3 84 548
3 85 203
3 86 518
3 87 441
3 88 473
3 89 423
3 90 174
3 91 493
3 92 416
3 93 175
3 94 457
3 95 372
3 96 263
3 97 419
3 98 463
3 99 516
3 100 314
3 101 676
3 102 416
3 103 502
3 104 322
3 105 128
3 106 319
3 107 341
3 108 46
3 109 299
3 110 431
3 111 686
3 112 105
3 113 527
3 114 29
3 115 124
3 116 349
3 117 70
3 118 141
3 119 580
3 120 342
3 121 134
3 122 269
3 123 685
3 124 368
3 125 178
3 126 68
3 127 310
3 128 146
3 129 332
3 130 105
4 5 404
4 6 273
4 7 449
4 8 187
4 9 386
4 10 240
4 11 412
4 12 244
4 13 256
4 14 235
4 15 225
4 16 320
4 17 164
4 18 156
4 19 221
4 20 79
4 21 152
4 22 127
4 23 156
4 24 209
4 25 413
4 26 424
4 27 200
4 28 383
4 29 243
