metodo,cant_threads_archivos,cant_threads_maximo,tiempo_hashmap,tiempo_maximo,tiempos_threads
random,1,1,3720.96,1.03168,[0.813324]
random,1,2,3768.49,0.693268,[0.430771 0.393451]
random,1,3,3786.95,0.630768,[0.368172 0.284762 0.237306]
random,1,4,3633.9,0.669942,[0.372529 0.270857 0.189799 0.181075]
random,1,5,3666.33,0.852138,[4.65200e-01 2.71713e-01 8.17740e-02 2.57000e-04 7.20630e-02]
random,1,6,3701.63,0.726129,[3.63148e-01 2.65066e-01 1.77865e-01 7.54310e-02 2.14000e-04 2.24000e-04]
random,1,7,3691.62,0.859282,"[3.60602e-01 2.85735e-01 2.02762e-01 2.40000e-04 2.45000e-04 7.91090e-02
 2.35000e-04]"
random,1,8,3626.41,0.732386,"[3.31472e-01 2.65789e-01 1.98725e-01 1.14219e-01 2.56000e-04 2.41000e-04
 2.54000e-04 2.50000e-04]"
random,1,9,3601.36,0.793806,"[3.06245e-01 2.41679e-01 2.34098e-01 1.91000e-04 2.81000e-04 7.12800e-02
 2.30000e-04 2.37000e-04 2.39000e-04]"
random,1,10,3685.73,0.866969,"[3.99172e-01 2.99317e-01 2.48000e-04 2.43000e-04 2.65000e-04 2.39000e-04
 2.32000e-04 2.35000e-04 2.39000e-04 2.40000e-04]"
random,1,11,3628.38,0.982956,"[3.48693e-01 3.00488e-01 2.42745e-01 2.40000e-04 2.42000e-04 2.40000e-04
 2.49000e-04 2.50000e-04 2.36000e-04 2.23000e-04 2.38000e-04]"
random,1,12,3885.86,1.01194,"[3.48669e-01 2.78356e-01 2.44899e-01 2.26000e-04 2.34000e-04 2.55000e-04
 2.39000e-04 2.52000e-04 2.41000e-04 2.30000e-04 2.41000e-04 2.35000e-04]"
random,1,13,3593.24,0.927652,"[3.54388e-01 2.73877e-01 2.48471e-01 2.40000e-04 2.30000e-04 2.85000e-04
 2.17000e-04 2.27000e-04 2.28000e-04 2.43000e-04 2.52000e-04 2.20000e-04
 2.33000e-04]"
random,1,14,3540.97,1.05927,"[3.32031e-01 3.00059e-01 2.27887e-01 2.14000e-04 2.36000e-04 2.88000e-04
 2.27000e-04 2.07000e-04 1.89000e-04 1.99000e-04 2.22000e-04 2.17000e-04
 2.14000e-04 2.32000e-04]"
random,1,15,3599.96,0.969918,"[3.57901e-01 2.87688e-01 2.43593e-01 1.69000e-04 2.40000e-04 2.48000e-04
 2.16000e-04 1.65000e-04 2.13000e-04 1.78000e-04 2.22000e-04 1.77000e-04
 1.89000e-04 2.36000e-04 2.43000e-04]"
random,1,16,3548.94,1.57305,"[3.54995e-01 2.67782e-01 2.36360e-01 1.85000e-04 1.68000e-04 2.71000e-04
 2.18000e-04 1.53000e-04 2.29000e-04 1.60000e-04 2.40000e-04 1.70000e-04
 1.60000e-04 2.42000e-04 2.38000e-04 2.48000e-04]"
random,1,17,3543.36,1.12188,"[3.64234e-01 3.11398e-01 2.38654e-01 2.49000e-04 1.82000e-04 2.66000e-04
 2.14000e-04 2.56000e-04 1.88000e-04 2.20000e-04 2.40000e-04 1.88000e-04
 1.72000e-04 2.25000e-04 2.46000e-04 2.27000e-04 2.34000e-04]"
random,1,18,3611.69,1.73709,"[3.79233e-01 2.68150e-01 2.30328e-01 1.92000e-04 1.81000e-04 2.44000e-04
 2.06000e-04 2.07000e-04 2.10000e-04 2.39000e-04 1.77000e-04 1.89000e-04
 2.38000e-04 2.21000e-04 2.46000e-04 2.34000e-04 2.32000e-04 2.35000e-04]"
random,1,19,3662.32,1.61146,"[3.99226e-01 3.67264e-01 8.34000e-04 2.15000e-04 1.79000e-04 2.76000e-04
 2.53000e-04 1.82000e-04 2.04000e-04 1.60000e-04 2.35000e-04 1.79000e-04
 1.78000e-04 1.83000e-04 1.78000e-04 2.34000e-04 1.90000e-04 2.34000e-04
 2.41000e-04]"
random,1,20,3719.58,1.47356,"[3.32533e-01 2.81126e-01 2.34000e-04 2.13000e-04 2.36000e-04 2.91000e-04
 2.29000e-04 2.12000e-04 2.18000e-04 2.15000e-04 2.38000e-04 1.81000e-04
 2.23000e-04 1.75000e-04 2.26000e-04 2.26000e-04 2.29000e-04 2.40000e-04
 2.84000e-04 2.31000e-04]"
random,1,21,4155.6,2.13098,"[3.61525e-01 3.18031e-01 2.64624e-01 1.91000e-04 2.29000e-04 2.97000e-04
 2.41000e-04 1.73000e-04 2.08000e-04 2.19000e-04 2.31000e-04 2.01000e-04
 2.26000e-04 2.27000e-04 2.27000e-04 2.37000e-04 2.36000e-04 2.61000e-04
 2.37000e-04 2.31000e-04 2.37000e-04]"
random,1,22,3649.34,1.504,"[3.34681e-01 2.69940e-01 2.30533e-01 1.83000e-04 2.39000e-04 2.19000e-04
 2.34000e-04 2.42000e-04 2.48000e-04 1.94000e-04 2.48000e-04 2.36000e-04
 2.31000e-04 2.43000e-04 2.38000e-04 2.37000e-04 2.44000e-04 2.36000e-04
 2.35000e-04 2.34000e-04 2.32000e-04 2.37000e-04]"
random,1,23,3612.23,1.58474,"[3.52054e-01 2.72088e-01 2.26486e-01 2.25000e-04 2.31000e-04 2.43000e-04
 2.61000e-04 1.51000e-04 2.42000e-04 1.72000e-04 2.44000e-04 1.70000e-04
 2.21000e-04 2.36000e-04 2.36000e-04 2.39000e-04 2.36000e-04 3.10000e-04
 2.36000e-04 2.89000e-04 2.96000e-04 3.12000e-04 2.37000e-04]"
random,1,24,3560.06,1.71081,"[3.34716e-01 2.70552e-01 2.28265e-01 2.24000e-04 2.26000e-04 2.77000e-04
 2.26000e-04 1.82000e-04 2.54000e-04 1.64000e-04 1.54000e-04 2.28000e-04
 2.34000e-04 2.27000e-04 2.35000e-04 2.32000e-04 2.32000e-04 2.33000e-04
 2.35000e-04 2.36000e-04 2.35000e-04 2.37000e-04 2.34000e-04 2.32000e-04]"
random,1,25,3925.42,2.52057,"[3.65324e-01 2.69965e-01 3.20000e-04 1.54000e-04 2.09000e-04 2.32000e-04
 1.80000e-04 2.46000e-04 1.92000e-04 1.72000e-04 1.64000e-04 1.59000e-04
 1.73000e-04 2.24000e-04 1.73000e-04 1.73000e-04 1.54000e-04 2.64000e-04
 2.37000e-04 2.35000e-04 2.32000e-04 2.32000e-04 2.17000e-04 2.36000e-04
 2.24000e-04]"
random,1,26,3766.6,1.96152,"[3.79261e-01 2.70722e-01 2.30418e-01 2.22000e-04 2.22000e-04 2.46000e-04
 2.38000e-04 1.54000e-04 2.39000e-04 2.35000e-04 1.83000e-04 1.65000e-04
 2.04000e-04 2.26000e-04 2.30000e-04 2.33000e-04 2.49000e-04 2.16000e-04
 2.36000e-04 2.29000e-04 2.22000e-04 2.31000e-04 2.26000e-04 2.15000e-04
 2.28000e-04 1.83000e-04]"
