,IPsrc,IPdst,Latencia
0,192.168.96.1,181.96.103.168,364.738408724467
1,192.168.0.1,181.96.103.168,370.1190667993882
2,181.96.103.168,14.140.210.22,7.216986020406068
3,8.243.138.29,4.69.207.33,112.86935541364882
4,4.69.207.33,4.68.110.158,7.604002952575684
5,4.68.110.158,63.243.152.34,32.321555861111335
6,63.243.152.34,209.58.124.6,165.32273347350372
7,66.198.154.177,63.243.137.133,4.254086812337221
8,63.243.137.133,216.6.87.43,1.7581780751546319
9,216.6.87.43,209.58.124.6,181.66478474934894
10,216.6.57.5,209.58.124.6,187.76136239369708
11,209.58.124.6,14.140.210.22,32.00995922088623
12,14.140.210.22,103.27.9.24,9.332799911499023
13,103.27.9.24,103.27.9.24,6.5667072931925645
