,IPsrc,IPdst,Latencia
0,192.168.0.1,10.32.128.1,4.030316016253309
1,10.32.128.1,185.70.203.38,4.541778564453125
2,10.242.5.213,192.168.64.66,2.2690534591674805
3,192.168.64.66,185.70.203.38,4.670445124308273
4,185.70.203.38,149.3.181.65,28.39653491973877
5,149.3.181.65,129.250.2.12,106.80292447408041
6,129.250.2.12,129.250.6.177,59.336824770326956
7,129.250.6.177,129.250.4.143,84.66017687762223
8,129.250.4.143,49.212.73.215,38.231589328283576
9,129.250.3.22,49.212.73.215,38.36418979469386
10,203.105.73.106,49.212.73.215,42.77002208534327
