,IPsrc,Latencia
0,172.30.160.1,83.14929962158203
1,192.168.0.1,81.89640595362737
2,*,0.0
3,*,0.0
4,*,0.0
5,*,0.0
6,181.96.113.254,434.8635971546173
7,8.243.138.29,111.62389207769323
8,4.69.207.33,226.6754706700643
9,4.68.110.158,231.24738931655884
10,66.110.72.46,421.72157764434814
11,66.110.57.145,452.22123622894287
12,66.110.57.21,426.7520332336426
13,66.110.59.2,424.13302830287387
14,64.86.252.59,361.33945349491006
15,116.0.74.7,431.60426139831543
16,180.87.98.37,433.53890657424927
17,120.29.214.142,432.04617977142334
18,*,0.0
19,*,0.0
20,*,0.0
21,*,0.0
22,209.97.175.193,438.6324882507324
