,IPsrc,IPdst,Latencia
0,172.30.160.1,181.96.113.254,351.7142975330353
1,192.168.0.1,181.96.113.254,352.96719120098993
2,181.96.113.254,66.110.57.145,17.35763907432556
3,8.243.138.29,4.69.207.33,115.05157859237107
4,4.69.207.33,4.68.110.158,4.571918646494538
5,4.68.110.158,66.110.72.46,190.4741883277893
6,66.110.72.46,66.110.57.145,30.499658584594727
7,66.110.57.21,116.0.74.7,4.852228164672852
8,66.110.59.2,116.0.74.7,7.471233095441562
9,64.86.252.59,116.0.74.7,70.26480790340537
10,116.0.74.7,180.87.98.37,1.934645175933838
11,180.87.98.37,209.97.175.193,5.093581676483154
12,120.29.214.142,209.97.175.193,6.586308479309082
