,IPsrc,IPdst,Latencia
0,172.23.48.1,181.96.113.234,3.1132400035858154
1,192.168.0.1,181.96.113.234,13.354454721723286
2,181.96.113.234,195.22.220.56,10.034918785095215
3,195.22.220.56,195.22.209.198,206.2569260597229
4,195.22.209.198,109.105.102.98,15.012681484222412
5,195.66.225.24,109.105.102.98,32.54342079162598
6,109.105.102.98,83.97.88.130,4.967868328094482
7,62.40.98.72,83.97.88.130,12.434989213943481
8,83.97.88.130,193.145.14.13,8.76566767692566
9,130.206.216.2,193.145.14.13,11.232227087020874
10,193.145.14.13,150.244.214.237,32.29801853497821
